ticker,delta_ipca_lag
AMBP3,-6.674738021919291
CCHI3,-4.796920391442391
FTRX4,-3.953490528480802
PDGR3,-3.7530420850627615
TERI3,-3.08243014052176
IDVL4,-2.6411991266930914
AVLL3,-2.6221071935185782
TOYB4,-2.3116475627784503
OGXP3,-2.1711607912963475
AMER3,-1.8800815255581433
ADHM3,-1.814902333558885
ARND3,-1.7891484244730969
IFCM3,-1.7565369469324823
SEQL3,-1.73389820152062
DTCY3,-1.5224791438919802
GFSA3,-1.5173451702941374
SBFG3,-1.4566084780270325
SFSA4,-1.4104958843688788
INEP4,-1.3217747680813274
SPRI3,-1.3151387937120111
BRAV3,-1.2953593632448686
ELEK4,-1.2900307784422922
CBEE3,-1.2838835872369692
SGPS3,-1.2425028526477717
AGXY3,-1.2384353916647575
AERI3,-1.2106848721365466
ENJU3,-1.1941608296611044
LINX3,-1.1185441808485086
TXRX4,-1.114138600111444
RJCP3,-1.0986919629863245
BICB4,-1.0947789904918355
AELP3,-1.081457374919808
PMET6,-1.07796766197545
FRIO3,-1.045235521465199
SULT4,-1.0061407217585971
JSLG3,-0.9989457180436401
NUTR3,-0.9930765475985076
ANIM3,-0.9803957562195083
PLAS3,-0.9749670888580607
NEXP3,-0.9718679901525358
RECV3,-0.9699938985877562
CTKA4,-0.9623221299303591
SRNA3,-0.9555372929999467
RLOG3,-0.9373613687602662
PARD3,-0.9339036805762915
VIVA3,-0.9184355212006915
KRSA3,-0.9101614975537694
CSRN3,-0.9023212837700416
VIVR3,-0.8968145566993145
DASA3,-0.8944462090159411
HAPV3,-0.8600632845910363
QUAL3,-0.855784415451936
LAME4,-0.8389122552982922
CREM3,-0.8353038942625921
PRIO3,-0.8350561396577505
OIBR3,-0.8073059883753421
INTB3,-0.8040518154030499
MGEL4,-0.7999879711633632
HBSA3,-0.7929629486795835
TEMP3,-0.7918707370593836
HOOT4,-0.7821465261995202
OSXB3,-0.767484014358698
SOJA3,-0.7661184950425912
KEPL3,-0.7376023768166647
ELPL4,-0.7327963553690123
MGLU3,-0.7280531825306902
CTSA4,-0.7059359738728669
NETC4,-0.6931766731125897
ALPA4,-0.6908847116835766
ZAMP3,-0.6785579310575701
NTCO3,-0.6768676936841717
ESTR4,-0.6614856883787297
CEBR6,-0.6598711985632063
GETI4,-0.6555668386720094
BPAC11,-0.645990784635565
SHUL4,-0.6349989250367581
AMBV4,-0.6268921275315567
BRKM5,-0.626318765422407
MRVE3,-0.6192031857103087
B3SA3,-0.6174905889966146
AXIA3,-0.6146595804559017
CRFB3,-0.6118819444627587
EMAE4,-0.6110597175812552
DMVF3,-0.5989752670566375
MWET4,-0.5969625624051028
NATU3,-0.5922541509897565
RDOR3,-0.5833744109348041
MOVI3,-0.5826149676458655
RENT3,-0.5807755520812897
CSAN3,-0.5646902135703944
BISA3,-0.5613672263395356
ENMT4,-0.5603364875915426
AZUL4,-0.5591243879111857
BEEF3,-0.5558756222679667
MBRF3,-0.5513776845182821
ALLD3,-0.5426242712258116
MILS3,-0.5398953444267602
CURY3,-0.5384069889603312
RAPT4,-0.538405063505479
TEKA4,-0.5383782860759445
PINE4,-0.5307853169212498
DIRR3,-0.5301981588633022
ENEV3,-0.5185398300465864
DESK3,-0.5044581963884062
RSID3,-0.4919254142981316
CPLE6,-0.4814847249809463
BIED3,-0.47654518407823776
SQIA3,-0.47214418994920554
NGRD3,-0.47008485040490366
UCAS3,-0.4658581554738999
JFEN3,-0.46157954625312553
FIEI3,-0.4604802287972085
EGIE3,-0.4590688229473616
DAYC4,-0.4588790623845448
BRBI11,-0.45007515981876406
CAML3,-0.449442167771077
CESP6,-0.4453321558337807
PETZ3,-0.4451366002083617
ARML3,-0.444338920067306
PLPL3,-0.43848658343436286
DEXP3,-0.4315795657612408
TASA4,-0.4291259604083175
BBAS3,-0.4268839256085877
ALUP11,-0.4256607630237717
GGPS3,-0.4206596884321723
RHDS3,-0.412144148899498
AURE3,-0.40793290600054577
LJQQ3,-0.4042227948605566
REDE3,-0.39034371829663284
PORT3,-0.38968553851695037
AZZA3,-0.3885748734549422
RADL3,-0.3879497126768167
MTIG4,-0.38792326708409497
PTBL3,-0.3766206362324977
WEGE3,-0.3656108172901429
SOMA3,-0.3588825763931365
EVEN3,-0.3582520312684318
TELB4,-0.35448255360392295
MTSA4,-0.3511308510358053
FLRY3,-0.34971659147238215
BMIN4,-0.3470486733921738
VULC3,-0.3414707027211232
EQPA3,-0.31850515204710195
CRUZ3,-0.3165858761531872
LREN3,-0.30279559730024336
PETR4,-0.2985115072434527
SLCE3,-0.29584764736703845
LPSB3,-0.2936178930647993
PNVL3,-0.29178245691129323
BOBR4,-0.28777610973970247
BBSE3,-0.27917079619326096
ISAE4,-0.2722323799741681
RPAD5,-0.27213298631792526
SMTO3,-0.2700631771687195
CPFE3,-0.2678199962844827
TCSA3,-0.2674536242630361
CEAB3,-0.2620252770382309
BALM4,-0.26149722122073066
ROMI3,-0.2551691148482426
PRVI3,-0.2546901564186255
AGRO3,-0.2513355627285897
EBTP4,-0.24716494733180053
TOKY3,-0.24096572007977105
CTNM4,-0.23507847480151814
TFCO4,-0.22343421959657206
VITT3,-0.2228688409626498
CEEB3,-0.21905726280466611
SUZB3,-0.21524591189537867
EZTC3,-0.21263720541887496
RAIL3,-0.20883453646930267
KLBN11,-0.1903181508422109
CVCB3,-0.1883446225362591
PRBC4,-0.18712155098909125
JALL3,-0.18529700480262845
HYPE3,-0.18153391080208944
CXSE3,-0.16492134451093501
AALR3,-0.1634295455936612
ENBR3,-0.15983512553525883
BNBR3,-0.15384642214244562
MLAS3,-0.1384251220299781
MDIA3,-0.13286632192509962
BEES3,-0.1207180740484907
GNDI3,-0.10321924412356186
BRSR6,-0.10246120690587564
MOTV3,-0.0938917284705915
CLSA3,-0.07414534832026652
STBP3,-0.0636580695484763
BGIP4,-0.06261844931439924
OMGE3,-0.05637893695425249
PRNR3,-0.05272388168687718
VIVT4,-0.02945828204623874
CMIG4,-0.02567501072742453
ALSC3,-0.01891986166291721
CSED3,-0.018282181808354666
PEAB4,-0.015278423514212667
WDCN3,-0.009622924069231268
TIET11,-0.008826921182304489
RSUL4,0.02390093591071239
TRAD3,0.03750893819825855
UNIP6,0.054825979559495946
PGMN3,0.06722331677612128
RDTR3,0.06826106029806114
BRML3,0.07124921907016543
WIZC3,0.09399305714325638
ABCB4,0.11429166781323435
ESPA3,0.12658268102438522
TESA3,0.13676488700913583
ABEV3,0.14850573278123452
TIMS3,0.1559184852740569
GRND3,0.1596363339160139
SMFT3,0.1783338142814645
SNSY5,0.1872015715536469
HGTX3,0.19155058902576774
PSSA3,0.19193773734965833
BRIV4,0.19439436520385808
HAGA4,0.2007537040457269
BMEB4,0.21470954701160458
CGAS5,0.21869774120729996
APER3,0.21870207937824512
LIPR3,0.22236953321519076
RDNI3,0.22541701819932813
BMKS3,0.2564883599690017
CLSC4,0.2629489906150074
FIQE3,0.2638556750988382
TOTS3,0.26673244181408123
GEPA4,0.2756924215698004
TRIS3,0.28657612480373074
VAMO3,0.2991937355416596
DOHL4,0.3042350931141708
SANB11,0.3103991191089974
CGRA4,0.3185494992798033
EUCA4,0.32205550599069405
ITUB4,0.32774134335105354
COCE5,0.33069526958370304
LUPA3,0.3350543947191637
ODPV3,0.33545751807248037
ITSA4,0.33831198953232267
ALOS3,0.3396620121997424
BAZA3,0.3548476538770769
CSMG3,0.35832296564282584
ECOR3,0.36525568860807744
TAEE11,0.37076833773724716
CRIV4,0.3745643153107883
EALT4,0.3846108966496588
ETER3,0.3979676866819475
BMGB4,0.4022101755442476
ENGI11,0.41147898063141536
NEOE3,0.4160639773596189
EQTL3,0.42345046872898096
FESA4,0.43947466576070465
RAIZ4,0.4403056290756208
BEMA3,0.45405696052619504
RANI3,0.4568943519526504
UGPA3,0.46283307117260775
BBDC4,0.4705939164698796
IGTA3,0.4747699441083949
MPLU3,0.4755525110093483
AUTM3,0.47667930696404065
LUXM4,0.48012660909371147
SCAR3,0.4896568248567715
EKTR4,0.48971876501932
JHSF3,0.4897774496078915
PFRM3,0.49133001111354163
CSUD3,0.49282667343409997
MULT3,0.4982572004810392
ALPK3,0.5068930956762163
BRPR3,0.509082927415581
GOAU4,0.5098431979983687
SEDU3,0.5167122775175728
SAPR11,0.5185885230806034
ORVR3,0.5234780909326036
WHRL4,0.5235796357369378
CBAV3,0.5239522616116641
BLAU3,0.5244346643616918
GSHP3,0.5256239256430938
PRML3,0.526836098386783
SYNE3,0.5396976226645419
OFSA3,0.5452362152590203
MAGG3,0.5690821573419484
CAMB3,0.5716501226916725
PDTC3,0.5737205296768143
POSI3,0.5740035428472303
SBSP3,0.5745655514146054
SMLE3,0.5768681832590508
BAUH4,0.583512352288132
USIM5,0.5868603773080182
IGTI11,0.5910608316246383
BRFS3,0.606564474051179
VBBR3,0.6092813935704985
GGBR4,0.6117241146110374
ARTR3,0.6142143169150964
TECN3,0.6213257573420559
ASAI3,0.622023151432275
TUPY3,0.6268662566090745
MYPK3,0.6276769988253816
PCAR4,0.6296168981627944
LAND3,0.6298458665632313
BRIT3,0.6361892947462446
LCAM3,0.6362061190848675
VALE3,0.6444319061236103
BRAP4,0.6462138352113467
FRTA3,0.6512533472359843
HBRE3,0.6552577447681308
TCNO4,0.6659868268513606
MMXM3,0.670442296060481
CRPG5,0.672434669136625
DXCO3,0.6728137104583185
CASH3,0.6747104621375841
PTNT4,0.6826497552527407
CYRE3,0.7052830536516425
POMO4,0.7075771835607947
FHER3,0.7081052375883493
GOLL4,0.7101614217079996
LEVE3,0.7239476855633227
SHOW3,0.7329074587056171
HBOR3,0.733331450238554
RIAA3,0.7351712423117499
MELK3,0.7397492059928704
LOGN3,0.7415302531666267
OPCT3,0.7419869518845985
AMIL3,0.7435686781219929
GMAT3,0.744088544408766
BMTO4,0.7499313085143038
BHGR3,0.7580493703109624
BPAN4,0.7585631031306278
EMBJ3,0.7669276661667936
ENAT3,0.7829506024284774
RPMG3,0.7829647716278169
CIEL3,0.7945480959249822
LOGG3,0.8062159798841422
MTRE3,0.8124374922215837
BDLL4,0.8235828844773128
FRAS3,0.8249029265064804
FICT3,0.830345020494169
BIOM3,0.8352370473209071
AZEV4,0.8450639918268869
TTEN3,0.8530878046394266
LIGT3,0.8582747211087461
TPIS3,0.8783840021464641
TGMA3,0.8791793444505568
VLID3,0.8815129120753327
AMAR3,0.8909830576155645
CEDO4,0.895285339682164
CPRE3,0.8971473113368542
WLMM4,0.9084710441510981
IRBR3,0.909782109497372
TRPN3,0.9132601779231834
IMCH3,0.9202577942275058
TEND3,0.921926097030475
BMOB3,0.9254311607041709
CCXC3,0.9525958812324004
CTAX3,0.9544186683056938
YDUQ3,0.9730993381275513
RNEW11,0.9830447688051187
RSIP3,1.0161666712110542
MDNE3,1.021272850142472
LAVV3,1.027343225929108
AFLT3,1.0306182540963498
DOTZ3,1.0317239585814533
FIBR3,1.0353132426180263
CSNA3,1.0384631535421172
SEER3,1.0535796717294605
SIMH3,1.085397140242914
EPAR4,1.092634182353059
MATD3,1.1072042889667657
PMAM3,1.1231680967115683
LWSA3,1.1282343008277986
MOAR3,1.1343015757612993
ELMD3,1.1569322463096148
HBTS5,1.1917003699579607
VSTE3,1.2095228585448548
MNPR3,1.237844687176258
COGN3,1.250786398174631
CMIN3,1.2834989488514934
MEAL3,1.3079547202251238
VVEO3,1.3559456847348825
AEDU3,1.4112625162876433
IGBR3,1.442549513530475
HETA4,1.4859281402197866
WEST3,1.4910095889223274
IMBI4,1.507008020081498
BLUT4,1.5703869251322902
BPHA3,1.6120535303096934
SLED4,1.715494939623657
BSEV3,1.9014190237947113
ONCO3,2.060110094359126
RCSL3,2.1875399050131192
BHIA3,2.3720353284099964
SMLS3,2.605363394936944
LIXC4,2.6329916992288775
BSLI3,2.944771132158713
NORD3,4.9597664949955105
