ticker,ibc_var_lag
SEQL3,-3.6063166462597223
TOKY3,-3.213531755703113
AVLL3,-2.6281355262900155
ARML3,-2.4250231992140843
ELEK4,-2.335709836507181
ESPA3,-2.31437879454395
RHDS3,-2.269117828757671
OGXP3,-2.267616603573487
VVEO3,-2.227536989820339
WDCN3,-2.1973241735644264
MLAS3,-2.173704967884452
CCXC3,-2.05973225759423
PMET6,-2.015708723201576
BPHA3,-2.011053573949304
FRIO3,-1.9462308287649783
BRAV3,-1.7914197029568204
AEDU3,-1.7631263220822317
EBTP4,-1.6993657798020108
ESTR4,-1.6921177347931282
MTIG4,-1.6904346717867091
NORD3,-1.680418484288126
SULT4,-1.6792146872594838
RECV3,-1.6170508764623748
SPRI3,-1.5886474728190993
IMBI4,-1.5444277741092245
HBTS5,-1.5145073786075898
MAGG3,-1.401068812908186
BISA3,-1.3418635863303334
IDVL4,-1.326214728283145
RJCP3,-1.3245462130723573
SIMH3,-1.2971553773958955
PDGR3,-1.2889116064828918
SFSA4,-1.2402476827783742
OSXB3,-1.2075847499286145
VAMO3,-1.198833705886642
AMIL3,-1.1685349519744404
MMXM3,-1.1596897183903285
LWSA3,-1.0861055377335147
EPAR4,-1.0816440981051718
BICB4,-1.0719972966563878
RCSL3,-1.063076507819483
DTCY3,-1.0441248003394739
AERI3,-1.0396834837843008
RAIZ4,-1.0361387906358246
TEMP3,-0.9943104598714184
MTRE3,-0.9696943772269255
SHOW3,-0.91249223274045
NETC4,-0.889651115943864
AGXY3,-0.8770813335314795
ARTR3,-0.864750014070517
BIED3,-0.8569786543259801
BHIA3,-0.8381467581426316
PEAB4,-0.8374854625685988
TELB4,-0.833023876989945
TESA3,-0.8274278194708148
BLAU3,-0.8247380561910712
PMAM3,-0.8210812430677374
ETER3,-0.8185842861393038
AZEV4,-0.8180823497610206
BRBI11,-0.8174047403255047
BHGR3,-0.7977383806111984
CTSA4,-0.7851939343574162
TEKA4,-0.7656373343160573
JALL3,-0.7567821186749618
POSI3,-0.7529306181838219
TCNO4,-0.7364838524260346
PRBC4,-0.735929615059023
LAND3,-0.7283257006424796
PDTC3,-0.7276522348714608
SLED4,-0.7175006118294415
DMVF3,-0.7165545024523379
EUCA4,-0.6922966262331279
TCSA3,-0.6855654608686577
FICT3,-0.6835017602934511
TXRX4,-0.6823147749436387
IMCH3,-0.6774387451340966
CXSE3,-0.6755902858973477
SGPS3,-0.6513922967987176
GFSA3,-0.6277109345854254
SOJA3,-0.6265876723523747
HAPV3,-0.6238407560982282
MPLU3,-0.603925106494595
TASA4,-0.6003948779667757
CEEB3,-0.5938918846500948
PRVI3,-0.5611983379719014
MGEL4,-0.5606251753007994
SCAR3,-0.5425792960049172
MEAL3,-0.5314097499848046
MNPR3,-0.5237862170876985
FHER3,-0.5168677832375368
ORVR3,-0.5156093709355251
RSUL4,-0.505107490510175
LIXC4,-0.5023984531496625
AZUL4,-0.49402151659809085
APER3,-0.49262590273097867
CASH3,-0.4661765967430737
BPAC11,-0.464459081372722
DESK3,-0.45548332356914917
ROMI3,-0.4538055984305251
JHSF3,-0.4533979136985303
LUXM4,-0.45261877650721394
BSLI3,-0.4463774082906176
OIBR3,-0.4426843181426336
BOBR4,-0.44067464795188493
EMAE4,-0.42814836230477366
UNIP6,-0.42226625884249014
AUTM3,-0.4210971585856845
TRIS3,-0.4176743697162223
VLID3,-0.41742848457496134
MBRF3,-0.41692629391258346
FIBR3,-0.4072212702123534
CVCB3,-0.4054782601571221
MYPK3,-0.4034846044455214
MULT3,-0.4011915181863878
CRPG5,-0.39904235487514783
SBFG3,-0.3989695539856097
KEPL3,-0.3894982040767437
CSUD3,-0.3880527664564292
PARD3,-0.3870557318071041
DAYC4,-0.3857791972341248
BEEF3,-0.38276129806558334
UGPA3,-0.37645608279301906
WEGE3,-0.37509679079549924
NUTR3,-0.36804441481141686
CPLE6,-0.36453635946735913
CIEL3,-0.359438817335906
BRML3,-0.35546586396611124
NEXP3,-0.3474329968637327
TFCO4,-0.3458165462080757
INTB3,-0.3378138753509953
ENMT4,-0.33548517369305414
NTCO3,-0.3198476161934027
PINE4,-0.31683238390598506
AELP3,-0.3086875206469602
TAEE11,-0.30719498498132114
LOGG3,-0.3059871124248925
OFSA3,-0.30304759115827706
BBDC4,-0.3003449695430836
PNVL3,-0.2996491462513367
IGTA3,-0.2996085009048292
MELK3,-0.29715601415321685
CTNM4,-0.2958663633047522
CEDO4,-0.29520502357492506
RPMG3,-0.28929097743955196
BRFS3,-0.2876627766728239
CMIN3,-0.28717023001682107
MRVE3,-0.284070125792882
MGLU3,-0.277435730511092
QUAL3,-0.27115092800638324
PFRM3,-0.2702875330469212
NEOE3,-0.25736888457353574
BMIN4,-0.2518604405461915
RAIL3,-0.246716110589113
EQTL3,-0.2417231707716726
SAPR11,-0.24161724950850802
CSNA3,-0.2379688576510815
UCAS3,-0.23285154237124497
BMGB4,-0.23063185044839457
LREN3,-0.22956892537604826
RAPT4,-0.22452027343051878
AZZA3,-0.2245028997554626
AXIA3,-0.22273801170015126
ISAE4,-0.21488209971495487
LAME4,-0.2147196333211866
POMO4,-0.21206225011134033
TEND3,-0.21090851232000146
BRKM5,-0.1930851356057921
ENBR3,-0.18928222169549969
MDIA3,-0.18611578654948988
VALE3,-0.16795247856985873
TIET11,-0.16537643398762192
CTKA4,-0.15256355479239916
HAGA4,-0.1501951227342412
CAML3,-0.14912011685186025
AURE3,-0.14193920531241944
BRAP4,-0.1410522497395299
LEVE3,-0.13876745705760582
GGBR4,-0.13283068282180396
BAZA3,-0.1288711425245301
SMTO3,-0.12774719046827251
HOOT4,-0.12499643887004534
REDE3,-0.12490673310720009
PETR4,-0.12417870865233419
VIVT4,-0.1241491860766321
ALPA4,-0.12127945295254192
GNDI3,-0.11389814293274005
BEES3,-0.11195537147037746
COCE5,-0.10243336426553955
VBBR3,-0.09049642033501262
SUZB3,-0.08692535346860299
B3SA3,-0.08496037905997011
RADL3,-0.07893887617177385
BBAS3,-0.07559036082845083
ONCO3,-0.06903454579970458
SMLS3,-0.06311236777064688
KLBN11,-0.05903915988083019
VIVA3,-0.05497760922783445
CBEE3,-0.054096514638820994
ITSA4,-0.04890932265238932
USIM5,-0.04415178067735279
GOLL4,-0.043201650969409616
SLCE3,-0.042636335359342886
MDNE3,-0.03366888619716431
CAMB3,-0.01614787473203064
RLOG3,-0.008790387174769026
RSIP3,0.011189864906098261
ADHM3,0.015036712794326317
FLRY3,0.03615804874308075
EGIE3,0.047435593856444275
OMGE3,0.06126653465237279
RENT3,0.06805007191747373
GOAU4,0.10612527290172982
SANB11,0.12342889070218924
PSSA3,0.15698349203264247
EZTC3,0.16114341334851462
MOVI3,0.1673908964119208
ZAMP3,0.17418741570711774
TECN3,0.17851006147542328
BSEV3,0.17944025040883643
BMTO4,0.18206681184456114
MOAR3,0.18767256558271708
LIPR3,0.18968125806784358
RIAA3,0.19366291063871857
SEER3,0.19492873357353135
RPAD5,0.2007684574012955
LPSB3,0.2066418977726041
ABCB4,0.2084056267943878
BRSR6,0.2229609986359512
HYPE3,0.22382331915480752
CGRA4,0.2240684089366854
WHRL4,0.23479747744491788
TOTS3,0.23656574883955134
TGMA3,0.23933382752522003
BIOM3,0.24606157492819927
ALOS3,0.247571423397539
CESP6,0.2500399269691318
IGBR3,0.2524249467823452
ENAT3,0.26161927955321135
ITUB4,0.28071905992744073
BALM4,0.2856231035214536
AMAR3,0.28850936139259475
EQPA3,0.29264620954103326
FRAS3,0.2940866846718667
ALUP11,0.2942085234973678
GRND3,0.2944739705957672
CPFE3,0.2976860882072576
LOGN3,0.30029204610029664
GEPA4,0.30111747909766856
MOTV3,0.30193100703396125
PTBL3,0.30494191432804796
SRNA3,0.30509452585170943
BBSE3,0.30568191580221604
PTNT4,0.30635384208548305
ABEV3,0.30758494069071085
RSID3,0.30821684438868724
CRUZ3,0.3144831519019279
ODPV3,0.3145867874776499
NATU3,0.31498466466580227
DXCO3,0.3163379842784299
ENGI11,0.332869604516879
AALR3,0.3341392792683559
MILS3,0.3352845424841892
SYNE3,0.35066412507561445
JSLG3,0.3506716537723931
SHUL4,0.35138303761035616
CRIV4,0.36214318145601315
DOHL4,0.36795084489847385
TIMS3,0.3687388477160293
CRFB3,0.3687956060109507
BNBR3,0.3717178010881976
HGTX3,0.37379874069170016
CGAS5,0.3752523982246303
RANI3,0.3776564802381341
CMIG4,0.37951199066565205
MTSA4,0.3897101719421052
SQIA3,0.39087454284211487
ALSC3,0.39141177887357653
CLSC4,0.3964115891072633
WEST3,0.4118607829138421
CYRE3,0.41583794299453486
LCAM3,0.41805887727850854
IGTI11,0.4197625330839776
HBOR3,0.42038105551075106
BRPR3,0.42069541422563467
VIVR3,0.4328559132534821
BAUH4,0.4343392352882088
IRBR3,0.43632076637808287
ANIM3,0.43842311625887603
BDLL4,0.4389612005574016
BMKS3,0.4455790749129318
FIEI3,0.4468877664598596
WLMM4,0.4496308633518985
GGPS3,0.4568202373581991
SBSP3,0.45909682036523947
BMEB4,0.46163313612210777
COGN3,0.4729183793390946
YDUQ3,0.48098043071323204
EKTR4,0.486370769636286
ECOR3,0.49034625555492056
ENEV3,0.4994174555076903
BGIP4,0.5015988097832449
BRIV4,0.5084338278185909
FESA4,0.5106713921145942
PRNR3,0.5147490983268598
DIRR3,0.5221054456582706
AMER3,0.5292752659530806
VULC3,0.5311768939362541
BMOB3,0.5333057036239285
EMBJ3,0.536613847553206
CSMG3,0.5444527106144282
AFLT3,0.5533336711525761
ENJU3,0.5546640965499255
BPAN4,0.572272588880858
EVEN3,0.5810143281668729
EALT4,0.5922443888170612
TPIS3,0.5965617802780498
TRPN3,0.5974923023537685
MWET4,0.5988769382169645
AGRO3,0.6087480268080494
HETA4,0.610470973109732
LINX3,0.6110820500709983
CSRN3,0.6149265013772524
RDNI3,0.6233003437331335
GETI4,0.6245639264939775
CEAB3,0.6251866314766262
TERI3,0.6258630926565605
LUPA3,0.6263139968300487
TUPY3,0.6268926928866335
RNEW11,0.6333312203276079
STBP3,0.639646398787099
LIGT3,0.6410484549775728
CURY3,0.658149037305509
CSAN3,0.6609919733385771
CTAX3,0.6847230769559526
DEXP3,0.6968934185260433
GSHP3,0.7241061030219581
PLAS3,0.7384669242446065
LAVV3,0.7498856123647075
CPRE3,0.7521651312062844
BEMA3,0.7810451315861593
FRTA3,0.7930213874704956
INEP4,0.8128754279131274
PRIO3,0.8222151794098115
FIQE3,0.8244537869018852
WIZC3,0.8293665021376078
TTEN3,0.8381464201634213
BLUT4,0.8563738787108264
CEBR6,0.864000828857166
JFEN3,0.8859573238830432
CSED3,0.9085947408193926
CREM3,0.9648176643016354
VITT3,0.9721411193416918
HBSA3,1.0956708892250353
PCAR4,1.1113781097196613
FTRX4,1.1769557950090792
LJQQ3,1.2164101841505817
SOMA3,1.2259935542194063
OPCT3,1.2561035323474938
MATD3,1.2789559461962225
ALLD3,1.28400373377071
VSTE3,1.307197974217295
PETZ3,1.3193704925951808
PORT3,1.3513001509786382
AMBV4,1.3683197328349619
PLPL3,1.3762631657265076
ELMD3,1.413080862532772
NGRD3,1.4298937910976266
RDTR3,1.4410139783576572
GMAT3,1.495712439085861
SMFT3,1.512095061321429
SEDU3,1.5148652584596687
CBAV3,1.5192291704252439
HBRE3,1.5351479631905527
ELPL4,1.6015943898224883
ASAI3,1.6119993020181862
RDOR3,1.6179321040930057
SMLE3,1.6386968341243107
SNSY5,1.6433682782547787
PGMN3,1.7470023054387707
KRSA3,1.7785703706504181
DASA3,1.8104944901501738
ARND3,1.9360509206721608
ALPK3,1.973560033655321
IFCM3,2.244241750778389
BRIT3,2.5544298941988735
CLSA3,2.7884696607593593
DOTZ3,2.7959707842392305
PRML3,2.819240803244562
CCHI3,2.921751358097509
AMBP3,4.337701884636563
TRAD3,4.848100355895868
TOYB4,4.881555478561057
